date_collected,specimen_ID,name,sex,age,row,column,position_on_face,estimated_intradermal_length_mm,extradermal_length_mm,estimated_total_length_mm
29/04/2019,991001001625715,Natone,Male,Yearling,D,1,D1,5.7,134,139.7
15/08/2019,991001001625715,Natone,Male,Yearling,B,1,B1,4.9,37,41.9
16/05/2019,991001001625716,Kakuna,Female,Yearling,E,1,E1,5.5,86.5,92.0
16/05/2019,991001001625717,Koffing,Male,Yearling,D,1,D1,5.7,141.5,147.2
06/05/2019,991001001625718,Gangapurna,Female,Yearling,D,1,D1,5.7,133,138.7
26/06/2018,991001001625771,Quarrie,Male,Yearling,C,1,C1,5.4,145.5,150.9
27/06/2018,991001001625772,Onodi,Female,Adult,C,1,C1,5.4,102,107.4
27/06/2018,991001001625774,Korbut,Female,Yearling,B,1,B1,4.9,142.5,147.4
26/06/2018,991001001625775,Zaitsev,Male,Adult,B,1,B1,4.9,45.5,50.4
26/06/2018,991001001625777,Spitz,Male,Yearling,C,1,C1,5.4,116,121.4
26/06/2018,991001001625778,Xiaopeng,Male,Yearling,C,1,C1,5.4,136.5,141.9
27/06/2018,991001001625779,Mustafina,Female,Yearling,C,1,C1,5.4,104.5,109.9
26/06/2018,991001001625780,Izbasa,Female,Yearling,B,1,B1,4.9,150.5,155.4
03/08/2018,991001001625791,Yrsa,Female,Yearling,D,1,D1,5.7,148,153.7
22/09/2018,991001001625791,Yrsa,Female,Yearling,D,1,D1,5.7,137,142.7
04/08/2018,991001001625792,Burska,Female,Yearling,D,1,D1,5.7,107,112.7
04/08/2018,991001001625793,Ardima,Female,Adult,B,1,B1,4.9,84,88.9
01/08/2018,991001001625794,Wisibada,Female,Yearling,D,1,D1,5.7,127,132.7
24/09/2018,991001001625794,Wisibada,Female,Yearling,D,1,D1,5.7,107,112.7
07/02/2019,991001001625794,Wisibada,Female,Yearling,D,1,D1,5.7,84.5,90.2
01/08/2018,991001001625795,Iapetus,Male,Yearling,C,1,C1,5.4,151,156.4
